gene_symbol,S100a3
pvalue,0.1094533
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
analysis_id,w8xck30y5377mt9
mouse_life_stage,Early adult
gene_accession_id,MGI:1338849
