parameter_name,Center permanence time
gene_symbol,Slc39a10
analysis_id,y6574vpv58gg080
pvalue,0.709648
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
