gene_symbol,Car13
analysis_id,2np36ety5j64q56
parameter_id,IMPC_GEL_028_001
parameter_name,Forebrain
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.7372703
