gene_symbol,Ppm1j
mouse_strain,C57BL
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.4631465
analysis_id,23aud48491ma8b3
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
