analysis_id,hog15pive75xn97
parameter_name,Sodium
pvalue,0.6265899
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
gene_symbol,Npbwr1
mouse_strain,C57BL
gene_accession_id,MGI:891989
