parameter_id,IMPC_CBC_011_001
mouse_life_stage,E12.5
analysis_id,3bsg263mmkv43a7
parameter_name,Iron
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.06995039
