gene_symbol,Atg4c
parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.09572845
parameter_id,IMPC_ABR_008_001
analysis_id,14c5pm299205rxe
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
