parameter_name,Center distance travelled
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
analysis_id,79azn4ux7i92cr6
pvalue,0.253894
