analysis_id,chs741frs5hm378
gene_accession_id,MGI:1309468
parameter_id,MGP_MLN_063_001
mouse_strain,C57BL
pvalue,0.2365605
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Casq1
