analysis_id,ew3s0uxni39yur0
parameter_name,Resting NK cells - % of NK cells
pvalue,0.1249422
mouse_strain,C57BL
gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,MGP_MLN_033_001
