parameter_name,Latency to center entry
pvalue,0.5275062
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_id,IMPC_OFD_018_001
analysis_id,46hg51a56b8yv4b
gene_symbol,Bpifa3
