analysis_id,8zv0y6z55nn0e2a
gene_symbol,Hnf4a
pvalue,0.5217439
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:109128
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Late adult
