analysis_id,2p61mn102253nl9
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
pvalue,0.652476
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
gene_symbol,Dnajc8
mouse_strain,C57BL
