parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
gene_accession_id,MGI:1929242
pvalue,0.2233427
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ivd
analysis_id,94i7pbk2030lr98
