gene_symbol,Atg4c
gene_accession_id,MGI:2651854
pvalue,0.7750004
analysis_id,3fcd369ed9wd703
parameter_name,Startle response
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
