parameter_name,Left total retinal thickness
analysis_id,l9u8g983cgbr38k
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
pvalue,0.2496336
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
