analysis_id,jt644hs79lc34j5
pvalue,0.5591407
gene_accession_id,MGI:1923959
parameter_id,UCD_OWT_003_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Spleen weight
