parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
gene_accession_id,MGI:1913576
analysis_id,f047q3v9g27a0ya
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
pvalue,0.5792303
parameter_name,Cleft palate
