parameter_name,Fusion of vertebrae
mouse_strain,C57BL
pvalue,0.8389515
analysis_id,97gg2j051w52eo2
mouse_life_stage,Early adult
gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,M-G-P_006_001_026
