analysis_id,423v06i84bt69d3
pvalue,0.7917888
parameter_name,Aggression
mouse_strain,129SV
Gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_079_001
gene_symbol,Ddx27
