analysis_id,8g1xy559c96r1v4
pvalue,0.9860498
mouse_life_stage,Early adult
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
