parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,34zi1xtbyk283v3
gene_symbol,Ahctf1
parameter_name,Lean mass
pvalue,0.448956
gene_accession_id,MGI:1915033
