analysis_id,401f347w5675yzz
mouse_life_stage,Early adult
pvalue,0.5016142
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_symbol,Gfi1b
parameter_id,MGP_IMM_094_001
