gene_symbol,Cd52
parameter_name,Gait
gene_accession_id,MGI:1346088
pvalue,0.2958357
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7vwjcbj9z04964b
