pvalue,0.3471227
gene_symbol,Ubxn11
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
analysis_id,t92889y11tmb8wq
gene_accession_id,MGI:1914836
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
