parameter_name,Alkaline phosphatase
analysis_id,w0mf60r3v69a75a
gene_symbol,Rab3gap2
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
pvalue,0.1319518
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
