analysis_id,f51f0e20ptj8lx7
pvalue,0.6173831
parameter_id,MGP_IMM_094_001
gene_accession_id,MGI:1919137
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ppm1j
