parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
pvalue,0.05090497
analysis_id,7u59uxj8dyo67bd
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_strain,C57BL
mouse_life_stage,Early adult
