mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
analysis_id,4muip298f84480c
gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.0949906
