parameter_name,Center permanence time
pvalue,0.5147789
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_016_001
gene_symbol,Tiprl
mouse_strain,C57BL
analysis_id,6w5oshe3392zn5i
gene_accession_id,MGI:1915087
