gene_symbol,Ahctf1
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
pvalue,0.9710223
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
analysis_id,1uo33ivi589xauv
gene_accession_id,MGI:1915033
