parameter_id,M-G-P_016_001_001
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
pvalue,0.5210293
parameter_name,White blood cell-count
analysis_id,0xkzm6a75etvt4o
gene_accession_id,MGI:1917604
mouse_strain,C57BL
