parameter_id,IMPC_GEP_083_001
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_name,Tongue out
analysis_id,422x610h9qqg03c
mouse_life_stage,E9.5
pvalue,0.2250779
gene_accession_id,MGI:1914515
