analysis_id,2pf7j6o888bi325
parameter_name,Number of rears - total
gene_accession_id,MGI:2446274
pvalue,0.05402728
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
gene_symbol,Frmpd1
