analysis_id,8362s844xmv7j85
pvalue,0.9160436
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
gene_symbol,Slc2a8
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
