parameter_id,UCDLA_EYE_083_001
gene_symbol,Cdin1
pvalue,0.8877414
mouse_life_stage,E9.5
analysis_id,599zj2tk2a9474i
mouse_strain,C57BL
parameter_name,Vitreous
gene_accession_id,MGI:3026886
