parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Pld1
mouse_strain,C57BL
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
pvalue,0.2039034
parameter_id,IMPC_IMM_067_001
analysis_id,m8wj3bw4g2g666v
