parameter_id,MGP_PBI_033_001
pvalue,0.6777202
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_symbol,Sgip1
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
analysis_id,05b87s44cwiu6o6
