parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
analysis_id,e5gd15f5b12a38p
gene_symbol,Alkbh3
parameter_id,IMPC_IMM_032_001
pvalue,0.2803594
gene_accession_id,MGI:1916363
mouse_strain,C57BL
