analysis_id,187zc66lck2x24p
pvalue,0.6482848
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,Early adult
