analysis_id,904b5g4r15e66kr
parameter_name,Effector Treg cells - % of Treg
pvalue,0.9991554
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
