parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.5341805
gene_accession_id,MGI:3026886
analysis_id,3a453b34x02zb7o
gene_symbol,Cdin1
parameter_id,IMPC_GEO_011_001
