gene_symbol,Psmd14
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:1913284
mouse_strain,C57BL
parameter_id,MGP_IMM_036_001
pvalue,0.1931055
analysis_id,2h1794ob4oa4v4t
