analysis_id,19p65u64q34gwh0
mouse_strain,C57BL
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
gene_symbol,Sema6c
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
pvalue,0.8255751
