analysis_id,86f7nby8ug4v53i
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
pvalue,0.1693203
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
