gene_symbol,Hnf4a
parameter_name,Basophil cell count
mouse_strain,C57BL
analysis_id,wcshbrcoj0m4n2y
gene_accession_id,MGI:109128
mouse_life_stage,Late adult
pvalue,0.3304899
parameter_id,IMPC_HEM_037_001
