analysis_id,7gg70x629k2g2o8
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
pvalue,0.7880351
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
