parameter_id,MGP_CSD_064_001
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_name,Head morphology
pvalue,0.4371859
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6tf4031jkjla5n0
