parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
analysis_id,i3d70cl88ia6f95
gene_symbol,Steap3
parameter_id,ICS_FEA_019_001
pvalue,0.5116522
mouse_strain,C57BL
gene_accession_id,MGI:1915678
