parameter_id,IMPC_GEO_019_001
analysis_id,klh377y9mu720ru
mouse_strain,C57BL
parameter_name,Embryo Size
gene_symbol,Cdin1
mouse_life_stage,E9.5
pvalue,0.1055817
gene_accession_id,MGI:3026886
