analysis_id,9d90b5lq84121ou
gene_accession_id,MGI:96757
mouse_strain,C57BL
gene_symbol,Lcn2
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
pvalue,0.4635539
mouse_life_stage,Early adult
