parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:88461
pvalue,0.266204
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,url938x8oa06233
gene_symbol,Col6a3
