gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1876029
gene_accession_id,MGI:1927232
parameter_id,JAXLA_CSD_023_001
parameter_name,Vibrissae - presence
analysis_id,i7q699a47r8173g
