parameter_name,Glucose
parameter_id,IMPC_CBC_018_001
pvalue,0.196086
mouse_strain,C57BL
gene_accession_id,MGI:88380
analysis_id,id10ign947iw345
mouse_life_stage,Early adult
gene_symbol,F2
