parameter_id,GMC_906_001_005
gene_accession_id,MGI:1919949
gene_symbol,Lime1
analysis_id,v6g8366z489733p
mouse_life_stage,Early adult
parameter_name,Potassium
mouse_strain,C57BL
pvalue,0.5558474
