parameter_name,Hemoglobin
analysis_id,xt87l09u6fg970f
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trp53i11
pvalue,0.8818788
gene_accession_id,MGI:2670995
