analysis_id,6w0zf81iu707s88
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:1309468
gene_symbol,CASQ1
parameter_name,Resting Treg cells - % of Treg
pvalue,0.831297
