analysis_id,o4yw169ds3l76oh
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
mouse_life_stage,Early adult
pvalue,0.3926054
gene_accession_id,MGI:1924360
gene_symbol,GPBP1L1
parameter_name,Percent time in dark
