gene_symbol,Wars2
pvalue,0.3359591
mouse_life_stage,Early adult
parameter_name,Platelet count
gene_accession_id,MGI:1917810
mouse_strain,C57BL
analysis_id,o1vlteg8jyk9570
parameter_id,IMPC_HEM_008_001
