gene_symbol,Rap2b
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
analysis_id,69rnw7z365drk2c
gene_accession_id,MGI:1921262
pvalue,0.1838652
mouse_life_stage,Early adult
