parameter_name,Spleen weight
pvalue,0.32167
parameter_id,UCD_OWT_003_001
analysis_id,x4b820v2zh4524r
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
