gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,ESLIM_007_001_005
pvalue,0.4464923
parameter_name,Whole arena average speed
analysis_id,o7p6l2cq4uk3xvr
