gene_symbol,Ilkap
gene_accession_id,MGI:1914694
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
pvalue,0.3567275
mouse_strain,C57BL
analysis_id,168pfng2768qc78
parameter_name,Total CD4+ T cells - % of CD45+
