parameter_name,Right kidney weight
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,IMPC_OWT_004_001
analysis_id,6tzhb92x12ob7q0
mouse_life_stage,E18.5
pvalue,0.3340962
gene_accession_id,MGI:2446186
